UNSECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
JUL'24,"$49,216","$49,997","$50,194","$49,869","$50,404","$49,380","$44,547",,JUL'24,0.340%,0.240%,0.160%,0.130%,0.170%,0.130%,0.160%,,JUL'24,,,,,,0.003%,
AUG'24,"$48,872","$50,364","$50,667","$50,445","$51,187","$50,225","$45,110",,AUG'24,0.420%,0.280%,0.190%,0.160%,0.190%,0.160%,0.170%,,AUG'24,,,,,,,
SEP'24,"$48,802","$50,667","$51,084","$51,204","$51,981","$50,937","$45,924",,SEP'24,0.360%,0.280%,0.160%,0.140%,0.180%,0.160%,0.180%,,SEP'24,0.042%,0.016%,0.003%,0.002%,,0.003%,
OCT'24,"$48,763","$50,687","$51,441","$51,723","$52,483","$51,557","$46,466",,OCT'24,0.410%,0.240%,0.170%,0.180%,0.170%,0.140%,0.180%,,OCT'24,0.040%,,,,,,
NOV'24,"$48,351","$50,646","$51,785","$52,102","$53,051","$52,218","$47,052",,NOV'24,0.340%,0.250%,0.190%,0.190%,0.200%,0.150%,0.190%,,NOV'24,,,,0.002%,0.003%,,0.001%
DEC'24,"$48,521","$50,955","$52,218","$52,633","$53,682","$52,825","$47,630",,DEC'24,0.250%,0.250%,0.120%,0.140%,0.190%,0.130%,0.190%,,DEC'24,,,,,,,0.001%
AVG,"$48,516","$49,301","$49,602","$49,135","$49,596","$48,807","$43,989",,AVG,0.350%,0.240%,0.160%,0.160%,0.190%,0.150%,0.190%,,AVG,0.034%,0.011%,0.003%,0.002%,0.002%,0.003%,0.001%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNSECURED OVERDRAFT ,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$2,072","$2,498","$2,942","$3,590","$4,101","$4,422","$3,637",,DEC'23,5.550%,4.350%,3.510%,3.290%,3.380%,3.470%,3.270%,,DEC'23,0.506%,0.316%,0.159%,0.124%,0.092%,0.074%,0.060%
JAN'24,"$2,016","$2,486","$2,878","$3,489","$4,052","$4,475","$3,716",,JAN'24,5.550%,4.430%,3.630%,3.500%,3.460%,3.640%,3.390%,,JAN'24,0.471%,0.330%,0.215%,0.103%,0.107%,0.103%,0.064%
FEB'24,"$2,078","$2,613","$2,981","$3,606","$4,320","$4,722","$3,778",,FEB'24,5.570%,4.370%,3.680%,3.750%,3.630%,3.710%,3.440%,,FEB'24,0.536%,0.320%,0.193%,0.127%,0.088%,0.089%,0.072%
MAR'24,"$2,117","$2,616","$2,989","$3,588","$4,114","$4,546","$3,768",,MAR'24,5.900%,4.290%,3.670%,3.840%,3.720%,3.590%,3.270%,,MAR'24,0.507%,0.402%,0.187%,0.123%,0.091%,0.091%,0.081%
APR'24,"$2,157","$2,654","$2,997","$3,603","$4,095","$4,505","$3,737",,APR'24,5.830%,4.290%,3.560%,3.530%,3.470%,3.420%,3.260%,,APR'24,0.601%,0.331%,0.220%,0.156%,0.122%,0.114%,0.088%
MAY'24,"$2,209","$2,712","$3,052","$3,660","$4,123","$4,535","$3,751",,MAY'24,6.060%,4.310%,3.590%,3.300%,3.170%,3.020%,2.880%,,MAY'24,0.633%,0.398%,0.212%,0.146%,0.158%,0.206%,0.268%
JUN'24,"$2,260","$2,796","$3,160","$3,778","$4,223","$4,543","$3,683",,JUN'24,6.230%,4.410%,3.560%,3.280%,3.200%,3.120%,2.880%,,JUN'24,0.609%,0.337%,0.202%,0.138%,0.109%,0.124%,0.084%
JUL'24,"$2,270","$2,879","$3,250","$3,818","$4,280","$4,575","$3,705",,JUL'24,6.210%,4.250%,3.440%,3.070%,2.980%,2.800%,2.450%,,JUL'24,0.585%,0.396%,0.336%,0.386%,0.404%,0.390%,0.482%
AUG'24,"$2,325","$2,964","$3,258","$3,795","$4,267","$4,497","$3,502",,AUG'24,5.990%,4.370%,3.500%,3.100%,2.980%,2.920%,2.530%,,AUG'24,0.735%,0.368%,0.274%,0.208%,0.204%,0.151%,0.150%
SEP'24,"$2,363","$3,027","$3,333","$3,851","$4,268","$4,514","$3,441",,SEP'24,5.880%,4.530%,3.510%,3.110%,3.150%,2.940%,2.540%,,SEP'24,0.613%,0.358%,0.221%,0.176%,0.111%,0.087%,0.092%
OCT'24,"$2,425","$3,093","$3,429","$3,941","$4,350","$4,581","$3,453",,OCT'24,6.190%,4.610%,3.610%,3.190%,3.050%,2.880%,2.510%,,OCT'24,0.513%,0.351%,0.263%,0.157%,0.116%,0.086%,0.090%
NOV'24,"$2,455","$3,174","$3,532","$4,078","$4,449","$4,689","$3,508",,NOV'24,6.430%,4.790%,3.790%,3.400%,3.210%,3.000%,2.600%,,NOV'24,0.572%,0.390%,0.213%,0.169%,0.129%,0.098%,0.078%
DEC'24,"$2,462","$3,223","$3,573","$4,160","$4,512","$4,753","$3,527",,DEC'24,6.180%,4.530%,3.660%,3.120%,2.940%,2.850%,2.540%,,DEC'24,0.551%,0.379%,0.278%,0.158%,0.114%,0.125%,0.087%
AVG,"$2,247","$2,826","$3,183","$3,766","$4,243","$4,566","$3,631",,AVG,5.970%,4.430%,3.590%,3.340%,3.260%,3.180%,2.890%,,AVG,0.572%,0.360%,0.229%,0.167%,0.142%,0.134%,0.130%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SECURED OVERDRAFT,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
